Video ID,Start Time (s),End Time (s),Transcript
https://youtu.be/JJOQsYmak2g,0.0,2.3,ಶ್ರೀ ಗುರು
https://youtu.be/JJOQsYmak2g,2.6,6.7,ಸರ್ವ ಸ್ವರೂಪ ಸರ್ವೇ ಸರ್ವಶಕ್ತಿ ಸಮನ್ವಿತ.
https://youtu.be/JJOQsYmak2g,6.7,11.1,ದೇವಿ ದುರ್ಗಾದೇವಿ ನಮಸ್ತು.
https://youtu.be/JJOQsYmak2g,11.1,17.8,ನಾವು ಸಂಕಟಗಳ ಬಂದಾಗ ನಮ್ಮ ದುಃಖಗಳೆಲ್ಲ ಪರಿಹಾರ ಆಗಬೇಕು ಅಂದರೆ.
https://youtu.be/JJOQsYmak2g,17.8,35.2,ಅದಕ್ಕೆ ಮೂಲದೇವತೆ ದುರ್ಗಾದೇವಿ.
https://youtu.be/JJOQsYmak2g,35.2,37.9,ಒಂದು ಪ್ರಾರ್ಥನೆಯನ್ನು ಮಾಡಬೇಕು.
https://youtu.be/JJOQsYmak2g,37.9,89.3,ಾ್ಕಗ್   ಯ್ಲಿ ್ಾಡಿ ಾಿ್ ಹಳ ವಮಾವಗಗ ಗ ಪರ್ಣ ಾರ್  .
https://youtu.be/JJOQsYmak2g,89.3,109.5,ಸಾಮಾನ್ಯವಾಗಿ ಎಲ್ಲ ಯಾಗಗಳಲ್ಲಿ ಒಂದೇ ಪೂರ್ಣಾವತಿ ಇರುತ್ತದೆ ಮೂರು ಅಧ್ಯಾಯಗಳಿಗೆ ಮೂರು ಪೂರ್ಣಾವತಿ ಪೂರ್ಣಾವತಿಯನ್ನು ಮಾಡಿ ಒಂದು ಮಹಾಪೂರ್ಣಾವತಿಯನ್ನು ನೆರವೇರಿಸಿದರೆ ಅನುಕೂಲ ಮಾಡುತ್ತಾರೆ ನಂಬಿಕೆ ನಮ್ಮ ಹಿಂದೂ ಸಂಸ್ಕೃತಿಯಲ್ಲಿ ಗಳಿಂದಕಾಲದಿಂದೂ ಬಂದಿದೆ.
https://youtu.be/JJOQsYmak2g,109.5,110.5,ಹಾಗೆ
https://youtu.be/JJOQsYmak2g,110.5,161.5,ಕ ್ಿ್  .
https://youtu.be/JJOQsYmak2g,161.5,172.1,ಅದೇ ಕೊಲ್ಲೂರು ಮೂಕಾಂಬಿಕ ವಿಶೇಷವಾದ ಕ್ಷೇತ್ರ ುಹ ಸಾಮಾನ್ಯವಾಗಿ ಯಾರುಲ್ಲಿಮಾಡಿ.
https://youtu.be/JJOQsYmak2g,172.1,179.1,ತಾಯಿ ಕೊಲ್ಲೂರು ಮೂಕಾಂಬಿಕಾ ಕ್ಷೇತ್ರ ಕ್ಷೇತ್ರದಲ್ಲಿ ಬಂದಾಗ ಅವರಿಗೆ .
https://youtu.be/JJOQsYmak2g,179.1,184.1,ಒಂದು ವಿಶೇಷ ಅನುಗ್ರಹ ಸಿಗುತ್ತದೆಅದ.
https://youtu.be/JJOQsYmak2g,184.1,188.9,ಕ್ಷೇತ್ರದಲ್ಲಿ ತ್ತು ಸವಾಹಕಾರಗಳನ್ನು ಕೊಟ್ಟುು.
https://youtu.be/JJOQsYmak2g,188.9,195.3,ಚಂಡಿಕಾ ಯಾಗವನ್ನು ಮಾಡ್ತೀವಿ.
https://youtu.be/JJOQsYmak2g,195.3,200.3,ನಮ್ಮ ಮನಸ್ಸಿನಲ್ಲಿ ಏಕಾಗ್ರತೆ ಉತ್ಪತ್ತಿಯಾಗಿ ಭಗವತ ಪ್ರಾರ್ಥನೆ ಮಾಡಿದಾಗ.
https://youtu.be/JJOQsYmak2g,200.3,204.3,ಖಂಡಿತವಾಗಲೂ ಸಿದ್ಧಿ ದಾತ್ರಿ ಕೊಡುತ್ತಾರೆ.
https://youtu.be/JJOQsYmak2g,204.3,208.5,ಅದೇ ರೀತಿಯಾಗಿ ಇವತ್ತಿನ ಒಂದು ಕ್ಷೇತ್ರದಲ್ಲಿಚಂಡಿಕಯನು ಮಾಡಿದ್ದರೆ.
https://youtu.be/JJOQsYmak2g,208.5,211.9,ಭಗವತಿ ಅವರಿಗೆ ಅನುಗ್ರಹ ಮಾಡಿ ನಾವು ಕೂಡ ಪ್ರಾರ್ಥನೆ.
https://youtu.be/JJOQsYmak2g,211.9,217.4,ಈಗ ಸಾಮಾನ್ಯವಾಗಿ ವನ್ನು ಒಂದು ಕ್ಷೇತ್ರದಲ್ಲಿ ಮಾಡಕ್ಕು ಬೇರೆ ಕಡೆ ಮಾಡಕು ವ್ಯತ್ಯಾಸ ಇದೆ.
https://youtu.be/JJOQsYmak2g,217.4,232.7,"ಈಗ ನಾವು ಮನೆಗಳಲ್ಲಿ ವರಮಹಾಲಕ್ಷ್ಮಿ ವರತ ಮಾಡ್ತೀವಿ, ಸತ್ಯನಾರಾಯಣ ಪೂಜೆ ಮಾಡತ್ತೀವಿ ಮನೆಗಳಲ್ಲಿ ಮಾಡತ್ತೇವೆ ನಮಮಿತ್ರರನ್ನುಸಮ್ಮುಖದಲ್ಲಿ."
https://youtu.be/JJOQsYmak2g,232.7,236.2,ಮಾಡುವಂತ ಕಾರ್ಯ ನಮ್ಮ ನಮ್ಮಲ್ಲಿ ಮಾಡಿಕೊಳ್ಳೋದು.
https://youtu.be/JJOQsYmak2g,236.2,283.7,ಕ ಎ್ ವ ್ ಕತ್ರ ಕ್ ೆ.
https://youtu.be/JJOQsYmak2g,283.7,290.4,"ಪರಿಪೂರ್ಣವಾದ ಸುದ್ದಿ ಬರುತ್ತೆ, ಉದಾಹರಣೆಗೆ ಮಾಡು್್ತೇವೆ."
https://youtu.be/JJOQsYmak2g,290.4,324.7,್್ಲಿ .
https://youtu.be/JJOQsYmak2g,324.7,327.7,ವಿಶೇಷವಾದ ಕ್ಷೇತ್ರ ಕೊಲ್ಲೂರು ಮೂಕಾಂಬಿಕಾ.
https://youtu.be/JJOQsYmak2g,327.7,413.6,ಕ   ಕ         .
https://youtu.be/JJOQsYmak2g,413.9,434.2,ಲಕ್ಷ ಜನಗಳ ಕೋರಿಕೆ ಇರುತ್ತದೆ ಕೋರಿಕೆಗಳನ್ನು.
https://youtu.be/JJOQsYmak2g,434.2,440.6,ನಮ್ಮ ಪೂರ್ವ ಪುಣ್ಯದ ವಿಶೇಷಗಳು ಏನಿರುತ್ತೆ ಆರೀತಿಯಾಗಿ ಜನ್ಮದಲ್ಲಿ ನಾವನ್ನು ಮಾಡು್ತಾ ಬರು್ತೇವೆ.
https://youtu.be/JJOQsYmak2g,440.8,453.3,ಜನನಿ ಜನ್ಮ ಸೌಖ್ಯ ತಾಯಿ ಗರ್ಭದಲ್ಲಿ ಳು ತಿಂಗಳಿಂದ ಒಂಬತ್ತು ತಿಂಗಳವರೆಗೂಒಳ್ಳೆ ವಿಷಯಗಳಲ್ಲವಿಷಯಗಳಲ್ಲ.
https://youtu.be/JJOQsYmak2g,453.3,559.2,ಕ                  .
https://youtu.be/JJOQsYmak2g,559.2,662.6,ಕ         .
https://youtu.be/JJOQsYmak2g,662.6,672.3,ಯಜ್ದಲ್ಲಿ ಸಂಪೂರ್ಣವಾಗಿ ಭಗವತಿ ಪ್ರಾರ್ಥನೆ ಮಾಡಿದರೆ ಖಂಡಿತವಾಗಲೂ ಸಿಗುತ್ತೆ ಸಾಮಾನ್ಯವಾಗಿ ವಿಜ್ಞಾನ ಯುಗದಲ್ಲಿ ನಾವು ಬಂದಾಗ.
https://youtu.be/JJOQsYmak2g,672.3,819.1,ಕ                                   .
https://youtu.be/JJOQsYmak2g,819.1,844.1,ಶಕ್ತಿ ಎಷ್ಟಿದೆ ಅಷ್ಟು ಪ್ರದರ್ಶದಲ್ಲಿ ನಮಮಲ್ಲಿಿಮನಸ್ಸುವಾಗಿ?
